IMG_8508.JPG, Ford, F Series, white, truck, 0.3725, 
IMG_8509.JPG, , , , bus, 0.0, 
IMG_8510.JPG, Ford, F Series, white, truck, 0.2978, 
IMG_8511.JPG, Ford, F Series, brown, truck, 0.3908, 
IMG_8512.JPG, Ford, F Series, white, truck, 0.2165, 
IMG_8513.JPG, Ford, F Series, black, truck, 0.1034, 
IMG_8514.JPG, Jeep, Wrangler, white, suv, 0.2863, 
IMG_8515.JPG, Lamborghini, Aventador, white, car, 0.5064, 
IMG_8516.JPG, Ford, F Series, black, truck, 0.3056, 
IMG_8517.JPG, Mitsubishi, Mirage, white, car, 0.4483, 
IMG_8518.JPG, Ford, F Series, blue, truck, 0.1845, 
IMG_8519.JPG, Ram, pickup, black, truck, 0.5784, 
IMG_8520.JPG, Ford, F Series, black, truck, 0.176, 
IMG_8521.JPG, Ford, F Series, white, truck, 0.419, 
IMG_8522.JPG, Ram, pickup, black, truck, 0.2418, 
IMG_8523.JPG, Ram, pickup, red, truck, 0.2638, 
IMG_8524.JPG, Ford, F Series, white, truck, 0.3619, 
IMG_8525.JPG, Ram, pickup, black, truck, 0.2352, 
IMG_8526.JPG, Ram, pickup, black, truck, 0.2301, 
IMG_8527.JPG, Ford, F Series, black, truck, 0.153, 
IMG_8528.JPG, Ford, F Series, white, truck, 0.5486, 
IMG_8529.JPG, Ford, F Series, black, truck, 0.3599, 
IMG_8530.JPG, Ford, F Series, black, truck, 0.1748, 
IMG_8531.JPG, Ram, pickup, black, truck, 0.2771, 
IMG_8532.JPG, Ram, pickup, white, truck, 0.2486, 
IMG_8533.JPG, Ford, F Series, black, truck, 0.4133, 
IMG_8534.JPG, Ram, pickup, brown, truck, 0.2272, 
IMG_8535.JPG, Ram, pickup, white, truck, 0.2489, 
IMG_8536.JPG, , , , bus, 0.0, 
IMG_8537.JPG, Ford, F Series, brown, truck, 0.2645, 
IMG_8538.JPG, Ford, F Series, black, truck, 0.0976, 
IMG_8539.JPG, Ram, pickup, black, truck, 0.0608, 
IMG_8540.JPG, Ram, pickup, white, truck, 0.1064, 
IMG_8541.JPG, Ram, pickup, white, truck, 0.2632, 
IMG_8542.JPG, Ram, pickup, brown, truck, 0.1664, 
IMG_8543.JPG, Ram, pickup, white, truck, 0.2043, 
IMG_8544.JPG, Ram, pickup, red, truck, 0.2034, 
IMG_8545.JPG, , , , bus, 0.0, 
IMG_8546.JPG, Ferrari, 458 Italia, black, car, 0.147, 
IMG_8547.JPG, , , , bus, 0.0, 
